x,Curve1
6.12973e-05,0.00197698
0.000112711,0.0029383
0.000246723,0.00503667
0.000539425,0.00772689
0.000780768,0.00980079
0.00126006,0.0134566
0.00140449,0.014112
0.00146725,0.0147992
0.00216896,0.0178996
0.00287804,0.0216495
0.00358053,0.0270285
0.00540665,0.0316708
0.00910771,0.0421276
0.0126209,0.0517673
0.0143772,0.0551557
0.0167412,0.0606587
0.0167412,0.0606587
0.0221951,0.0677765
0.0231869,0.0710772
0.0269949,0.0769395
0.0314336,0.0846159
0.0321255,0.0859678
0.037395,0.0915948
0.0464589,0.100733
0.0552603,0.107327
0.0671989,0.119921
0.115552,0.145044
0.134552,0.159515
0.149923,0.162064
0.163537,0.169956
0.194552,0.183974
0.28735,0.205562
0.599937,0.240868
1.45702,0.282239
3.61333,0.310399
7.53367,0.320396
11.3604,0.330716
